Bayonetta	90	8.1	8	8.3	Great	" Action-adventure story in which Bayonetta, a reborn witch, will have to battle angels with unique &quot;witch-like abilities&quot; and guns equipped to her hands and feet."	 Action Action Adventure Beat-'Em-Up Fantasy Beat-'Em-Up Linear 	M	Sega	8.2	8.3	http://www.ign.com/wikis/bayonetta	https://www.gamespot.com/bayonetta/	"Jan. 5, 2010"	PS3 X360 WIIU PC
Bayonetta 2	91	9	10	8.75	Essential	 Bayonetta 2 is the sequel to Bayonetta and will be released exclusively for the Nintendo Wii U. The game has players take control of Bayonetta as she battles the angel ...	 Action Adventure Fantasy Fantasy Linear 	M	Nintendo	9.5	8.7	http://www.ign.com/wikis/bayonetta-2	https://www.gamespot.com/bayonetta-2/	"Oct. 24, 2014"	WIIU
Beyond Good & Evil	87	8.4	8.3	8.8	Great	" While the game feels pretty short, its interesting premise and impressive presentation pick up the slack and make Beyond Good &; Evil a game well worth playing."	 Action Adventure Fantasy 	T	Ubisoft	9	9	http://www.ign.com/wikis/beyond-good-evil-hd	https://www.gamespot.com/beyond-good-and-evil/	"Nov. 11, 2003"	PC GC PS2 XBOX PS3 X360
BioShock	96	8.9	9	9	Superb	 Explore the ruined undersea metropolis of Rapture in this hybrid first-person shooter from the creators of System Shock 2.	 Action Shooter First-Person Sci-Fi Sci-Fi Shooter Arcade 	M	2K Games	9.7	9.1	http://www.ign.com/wikis/bioshock	https://www.gamespot.com/bioshock/	"Aug. 21, 2007"	PC X360 PS3 MAC BB IOS PS4 XONE
BioShock 2	88	8.2	8.5	8.5	Great	" The undersea world of Rapture gets another go-round in this sequel to the multiplatinum, award-winning first-person action game."	 Action Shooter First-Person Sci-Fi Sci-Fi Shooter Arcade 	M	2K Games	9.1	8.6	http://www.ign.com/wikis/bioshock-2	https://www.gamespot.com/bioshock-2/	"Feb. 9, 2010"	X360 PC PS3 MAC
BioShock Infinite	94	8.5	9	0	Superb	 BioShock Infinite is a first person shooter where players assume the role of former Pinkerton agent Booker DeWitt who is sent to the flying city of Columbia on a rescue ...	 Action Shooter First-Person Sci-Fi Sci-Fi Shooter Arcade 	M	2K Games	9.4	9.2	http://www.ign.com/wikis/bioshock-infinite	https://www.gamespot.com/bioshock-infinite/	"Mar. 25, 2013"	PS3 X360 PC MAC LNX
Black & White	90	7.7	9.3	8.5	Superb	 No other PC game to date has so effectively combined so many seemingly incompatible elements into one highly polished game.	 Strategy Real-Time Fantasy General Fantasy 	T	EA Games	9.7	8.3	http://www.ign.com/wikis/create?objectid=3897	https://www.gamespot.com/black-and-white/	"Mar. 26, 2001"	MAC PC DC PS
Black & White 2	75	7.3	8.2	8.5	Great	" Will you be an evil or a benevolent deity? In this sequel to Black &; White, you reprise your role as a powerful deity in search of a following and ..."	 Strategy Real-Time Fantasy General Fantasy 	T	EA Games	8.8	8.4	http://www.ign.com/wikis/black-white-2	https://www.gamespot.com/black-and-white-2/	"Oct. 4, 2005"	PC MAC
Blacklight Retribution	75	7.6	6.5	7.6	Fair	 Blacklight: Retribution is a first-person shooter based in a futuristic urban war zone.	 Action Shooter Shooter First-Person Sci-Fi Sci-Fi Arcade 	NOT PROVIDED	Perfect World Entertainment	8.5	8.3	http://www.ign.com/wikis/blacklight-retribution	https://www.gamespot.com/blacklight-retribution/	"Apr. 3, 2012"	PC PS4
Bloodborne	92	8.8	9	8.7	Superb	" Bloodborne is a new PS4 exclusive title from Software and Hidetaka Miyazaki, creators of the critically acclaimed Demon’s Souls and Dark Souls games."	 Fantasy Role-Playing Action Adventure General Action RPG 	M	SCEA	9.1	9.2	http://www.ign.com/wikis/bloodborne	https://www.gamespot.com/bloodborne/	"Mar. 24, 2015"	PS4
Boom Blox	85	8.6	7	8.1	Good	 This action-puzzle hybrid game is a collaboration between EA and Steven Spielberg that features a variety of family-friendly game modes.	 Miscellaneous Puzzle General General Puzzle Puzzle 	E	Electronic Arts	8.1	8.2	http://www.ign.com/wikis/boom-blox	https://www.gamespot.com/boom-blox/	"May. 6, 2008"	WII
Borderlands	81	7.8	8	8.4	Great	 Borderlands is an RPG sci-fi shooter that features four player online co-op.	 Action Shooter First-Person Sci-Fi Sci-Fi Shooter Arcade 	M	2K Games	8.8	8.9	http://www.ign.com/wikis/borderlands	https://www.gamespot.com/borderlands/	"Oct. 20, 2009"	X360 PC PS3
Borderlands 2	89	8.3	8.5	8.4	Great	" Borderlands 2 continues in its predecessors footsteps with four new characters, tons of new quests, and lots of shooting and looting."	 Action Shooter First-Person Sci-Fi Sci-Fi Shooter Arcade 	M	2K Games	9	8.8	http://www.ign.com/wikis/borderlands-2	https://www.gamespot.com/borderlands-2/	"Sep. 18, 2012"	X360 PS3 PC MAC VITA LNX AND
Borderlands The Handsome Collection	80	7.7	8	8.62	Great	" The Handsome Collection brings Borderlands 2 and The Pre-Sequel, along with all of their DLC, to PS4 and Xbox One."	 Miscellaneous Compilation 	M	2K Games	8.4	9.2	http://www.ign.com/wikis/create?objectid=20030413	https://www.gamespot.com/borderlands-the-handsome-collection/	"Mar. 24, 2015"	PS4 XONE
Borderlands The PreSequel	77	6.3	7	7.7	Good	" Borderlands: The Pre-Sequel takes off into space and brings the action to Pandora';s moon, telling the tale of Handsome Jack';s rise to power."	 Action Shooter First-Person Sci-Fi Arcade 	M	2K Games	8	8.1	http://www.ign.com/wikis/borderlands-the-pre-sequel	https://www.gamespot.com/borderlands-the-pre-sequel/	"Oct. 13, 2014"	X360 PS3 PC MAC LNX AND
Botanicula	82	8.3	8.5	8.3	Great	 Botanicula is point-and-click exploration game created by Jara Plachy and Amanita Design.	 Adventure General Third-Person General Point-and-Click Fantasy 	NOT PROVIDED	Amanita Design	9	8.3	http://www.ign.com/wikis/botanicula	https://www.gamespot.com/botanicula/	"Apr. 19, 2012"	MAC PC LNX IOS AND
Braid	90	8.6	9.5	8.1	Superb	" Travel seven platforming worlds to save a princess, but be wary of the peculiar flow of time in each level."	 Action Platformer 2D Platformer 2D 	E10+	MumboJumbo Number None Inc.	8.8	8.6	http://www.ign.com/wikis/create?objectid=14255495	https://www.gamespot.com/braid/	"Aug. 6, 2008"	X360 PC MAC PS3 LNX
Bravely Second End Layer	81	7.7	7	9.1	Good	 Bravely Second is the sequel to Bravely Default and will feature a new protagonist named Magnolia Arch.	 Role-Playing Japanese-Style 	T	Square Enix Nintendo	7.1	9.1	http://www.ign.com/wikis/bravely-second	https://www.gamespot.com/bravely-second/	"Apr. 15, 2016"	3DS
Breath of Fire IV	83	8.9	7.5	8.6	Good	 Breath of Fire IV is as solid a game as any of its predecessors.	 Role-Playing Console-style RPG 	T	Capcom	8.2	8.4	http://www.ign.com/wikis/create?objectid=13551	https://www.gamespot.com/breath-of-fire-iv/	"Nov. 28, 2000"	PS PC
Bulletstorm	82	7.7	8	8	Great	" EA is publishing the new &quot;over the top&quot; shooter from Epic Games'; Polish studio, which made Painkiller."	 Action General Shooter First-Person Sci-Fi Sci-Fi Shooter Arcade 	M	Electronic Arts	8	8.3	http://www.ign.com/wikis/bulletstorm	https://www.gamespot.com/bulletstorm/	"Feb. 21, 2011"	X360 PS3 PC PS4 XONE
Bully	87	9.1	8.7	0	Great	" Bully is an action game from Rockstar that takes place at Bullworth Academy, where you face bullies, mean teachers, and more."	 Action Adventure Modern 	T	Rockstar Games	8.9	9	http://www.ign.com/wikis/bully	https://www.gamespot.com/bully/	"Oct. 17, 2006"	XBOX PS2 PS4 IOS WII X360 PC AND
Burnout Revenge	90	8.8	9.1	8.7	Superb	 Burnout Revenge is a racing game in which your desire for destruction is as important as your ability to reach the finish line. The sequel to Burnout 3 adds some ...	 Driving Racing Arcade 	E10+	Electronic Arts	8.9	8.7	http://www.ign.com/wikis/burnout-revenge	https://www.gamespot.com/burnout-revenge/	"Sep. 13, 2005"	XBOX PS2 X360
Call of Cthulhu Dark Corners of the Earth	76	7.6	8.3	8.2	Great	 H.P. Lovecraft';s series of horror novels is brought to life in this upcoming action-adventure game.	 Action Adventure Horror Horror Survival 	M	2K Games	8.2	8.3	http://www.ign.com/wikis/create?objectid=496019	https://www.gamespot.com/call-of-cthulhu-dark-corners-of-the-earth/	"Oct. 24, 2005"	PC XBOX PS2
Call of Duty 4 Modern Warfare	94	8.4	7	9.2	Good	 The venerable Call of Duty series leaves its familiar WWII battlefields behind to tackle warfare in a modern setting.	 Action Shooter First-Person Modern Shooter Modern Arcade 	M	Activision	9.4	9.2	http://www.ign.com/wikis/call-of-duty-4-modern-warfare	https://www.gamespot.com/call-of-duty-4-modern-warfare/	"Nov. 5, 2007"	X360 PS3 PC DS MAC WII
Call of Duty Advanced Warfare	78	4.6	8	7	Great	 Call of Duty: Advanced Warfare takes place in a plausible future in which technological progress and today’s military practices have converged with powerful consequences.	 Action Shooter First-Person Modern Arcade 	M	Activision	9.1	7.6	http://www.ign.com/wikis/call-of-duty-advanced-warfare	https://www.gamespot.com/call-of-duty-advanced-warfare/	"Nov. 3, 2014"	PS4 XONE PS3 X360 PC
