Name,Score,User Score,Wiki
" Call of Duty 4 Modern Warfare Game of The Year Edition ",0,0,NOT PROVIDED
" Call of Duty 4 Modern Warfare Limited Collectors Edition ",9.4,0,http://www.ign.com/wikis/call-of-duty-4-modern-warfare
" Call of Duty Advanced Warfare ",9.1,7.6,http://www.ign.com/wikis/call-of-duty-advanced-warfare
" Call of Duty Black Ops ",8.5,0,NOT PROVIDED
" Call of Duty Black Ops Declassified ",4,0,NOT PROVIDED
" Call of Duty Black Ops Hardened Edition ",0,8.9,http://www.ign.com/wikis/create?objectid=82260
" Call of Duty Black Ops II ",9.3,7.6,http://www.ign.com/wikis/call-of-duty-black-ops-2
" Call of Duty Black Ops III ",9.2,7.2,http://www.ign.com/wikis/call-of-duty-black-ops-3
" Call of Duty Black Ops Prestige Edition ",0,9,http://www.ign.com/wikis/create?objectid=82253
" Call of Duty Classic ",7.5,0,http://www.ign.com/wikis/call-of-duty
" Call of Duty Finest Hour ",7.3,7.6,http://www.ign.com/wikis/call-of-duty-finest-hour
" Call of Duty Ghosts ",8.8,0,http://www.ign.com/wikis/call-of-duty-ghosts
" Call of Duty Infinite Warfare ",7.7,5.2,http://www.ign.com/wikis/call-of-duty-infinite-warfare
" Call of Duty Modern Warfare 2 ",9.5,8.9,http://www.ign.com/wikis/call-of-duty-modern-warfare-2
" Call of Duty Modern Warfare 2 Hardened Edition ",9.5,0,http://www.ign.com/wikis/call-of-duty-modern-warfare-2
" Call of Duty Modern Warfare 2 Prestige Edition ",9.5,0,NOT PROVIDED
" Call of Duty Modern Warfare 3 ",9,0,NOT PROVIDED
" Call of Duty Modern Warfare 3 Hardened Edition ",0,8.8,http://www.ign.com/wikis/call-of-duty-modern-warfare-3
" Call of Duty Modern Warfare Remastered ",8.5,0,http://www.ign.com/wikis/call-of-duty-4-modern-warfare
" Call of Duty Online ",0,0,http://www.ign.com/wikis/call-of-duty-online
" Call of Duty World at War ",9.2,0,http://www.ign.com/wikis/call-of-duty-world-at-war
" Call of Duty WWII ",8,0,NOT PROVIDED
" Captain Toad Treasure Tracker ",8.2,0,http://www.ign.com/wikis/captain-toads-treasure-tracker
" Captain Tsubasa ",0,6.8,http://www.ign.com/wikis/create?objectid=848853
" Carmageddon Reincarnation ",0,7.5,http://www.ign.com/wikis/carmageddon-reincarnation
" Castle Crashers ",9,0,http://www.ign.com/wikis/castle-crashers
" Castle Crashers Remastered ",0,0,http://www.ign.com/wikis/castle-crashers
" Castlevania ",0,8.5,http://www.ign.com/wikis/create?objectid=7096
" Castlevania Aria of Sorrow ",9.3,9,http://www.ign.com/wikis/castlevania-aria-of-sorrow
" Castlevania Dawn of Sorrow ",9.3,0,http://www.ign.com/wikis/castlevania-dawn-of-sorrow
" Castlevania Harmony of Despair ",7.5,0,http://www.ign.com/wikis/castlevania-harmony-of-despair
" Castlevania II Simons Quest ",7,0,http://www.ign.com/wikis/create?objectid=7097
" Castlevania III Draculas Curse ",9,0,http://www.ign.com/wikis/create?objectid=6706
" Castlevania Lament of Innocence ",9,8.5,http://www.ign.com/wikis/castlevania-lament-of-innocence
" Castlevania Lords of Shadow ",7.5,0,http://www.ign.com/wikis/castlevania-lords-of-shadow
" Castlevania Lords of Shadow 2 ",6.5,0,NOT PROVIDED
" Castlevania Lords of Shadow Collection ",7.5,8.2,http://www.ign.com/wikis/castlevania-lords-of-shadow
" Castlevania Lords of Shadow Limited Edition ",0,0,NOT PROVIDED
" Castlevania Lords of Shadow Mirror of Fate ",4.7,7.9,http://www.ign.com/wikis/castlevania-lords-of-shadow-mirror-of-fate
" Castlevania Order of Ecclesia ",9,0,http://www.ign.com/wikis/castlevania-order-of-ecclesia
" Castlevania Portrait of Ruin ",8.9,8.9,http://www.ign.com/wikis/castlevania-portrait-of-ruin
" Castlevania Symphony of the Night ",9,0,http://www.ign.com/wikis/castlevania-symphony-of-the-night
" Castlevania The Dracula X Chronicles ",8,0,NOT PROVIDED
" Catherine ",9,8.8,http://www.ign.com/wikis/catherine
" Chariot ",0,7.5,http://www.ign.com/wikis/chariot
" Chasing Aurora ",6,6.4,http://www.ign.com/wikis/create?objectid=135575
" ChibiRobo Zip Lash ",5,0,NOT PROVIDED
" Child of Light ",9.3,9.2,http://www.ign.com/wikis/child-of-light
" Chip N Dale Rescue Rangers ",0,0,http://www.ign.com/wikis/create?objectid=7376
" Choplifter HD ",8,7,http://www.ign.com/wikis/choplifter-hd
" Chrono Cross ",0,9.5,http://www.ign.com/wikis/chrono-cross
" Chrono Trigger ",8.8,9.4,http://www.ign.com/wikis/chrono-trigger
" Cities Skylines After Dark ",0,0,http://www.ign.com/wikis/cities-skylines
" Cities XL ",8.1,6.9,http://www.ign.com/wikis/create?objectid=14231775
" Citizens of Earth ",6.5,8.4,http://www.ign.com/wikis/citizens-of-earth
" City Transformer Online ",0,8.5,http://www.ign.com/wikis/create?objectid=114888
" Clive Barkers Jericho ",5.6,7.1,http://www.ign.com/wikis/clive-barkers-jericho
" Closure ",8.5,8.1,http://www.ign.com/wikis/closure
" Cloudbuilt ",0,0,http://www.ign.com/wikis/create?objectid=138440
" Code Name STEAM Strike Team Eliminating the Alien Menace ",7.9,8.6,http://www.ign.com/wikis/code-name-steam-strike-team-eliminating-the-alien-menace
" Code of Princess ",6.9,0,http://www.ign.com/wikis/create?objectid=20051676
" Comedy Centrals Indecision Game ",7.5,8.1,http://www.ign.com/wikis/create?objectid=135629
" Command & Conquer ",0,0,http://www.ign.com/wikis/command-conquer-generals-2
" Command & Conquer 3 Tiberium Wars ",8.5,0,http://www.ign.com/wikis/command-conquer-3-tiberium-wars
" Command & Conquer 4 Tiberian Twilight ",7.4,5.4,http://www.ign.com/wikis/command-conquer-4-tiberian-twilight
" Command & Conquer Generals ",9.3,8.7,http://www.ign.com/wikis/command-conquer-generals
" Command & Conquer Generals Zero Hour ",9,8.9,http://www.ign.com/wikis/command-conquer-generals-zero-hour
" Command & Conquer Red Alert 2 ",9.3,0,NOT PROVIDED
" Command & Conquer Red Alert 3 ",8.2,8,http://www.ign.com/wikis/command-conquer-red-alert-3
" Command & Conquer Tiberian Sun ",8,0,http://www.ign.com/wikis/command-conquer-tiberian-sun
" Command & Conquer Tiberium Alliances ",0,7.3,http://www.ign.com/wikis/command-conquer-tiberium-alliances
" Commandos Behind Enemy Lines ",8.2,8.3,http://www.ign.com/wikis/commandos-behind-enemy-lines
" Company of Heroes ",9.4,9.1,http://www.ign.com/wikis/company-of-heroes
" Company of Heroes Opposing Fronts ",8.8,8.8,http://www.ign.com/wikis/company-of-heroes-opposing-fronts
" Company of Heroes Tales of Valor ",7,0,NOT PROVIDED
" Conan Exiles ",0,0,http://www.ign.com/wikis/conan-exiles
" Conception II Children of the Seven Stars ",0,8.4,http://www.ign.com/wikis/conception-ii-children-of-the-seven-stars
